ID;RESP_ID;RESP_ID_RAW;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q011;Q013;Q015;Q016;Q017;Q019;Q021;Q022
24;5;r00005;0;5;1;;1;0;0;1;4;0;1;0;5;0;0;0;0
25;5;r00005;0;5;1;;1;0;0;1;4;0;1;0;5;0;0;1;0
26;5;r00005;0;5;1;;1;0;0;1;4;0;1;0;5;0;0;9;0
27;5;r00005;0;5;1;;1;0;0;1;16;0;1;0;5;0;0;5;0
28;5;r00005;0;5;1;;1;0;0;1;16;0;1;0;5;0;0;6;0
29;5;r00005;0;5;1;;1;0;0;1;16;0;1;0;5;0;0;0;0
30;5;r00005;0;5;1;;1;0;0;1;16;0;1;0;5;0;0;1;0
31;5;r00005;0;5;1;;1;0;0;1;16;0;1;0;5;0;0;9;0
32;5;r00005;0;5;1;;1;0;0;1;17;0;1;0;5;0;0;5;0
33;5;r00005;0;5;1;;1;0;0;1;17;0;1;0;5;0;0;6;0
34;5;r00005;0;5;1;;1;0;0;1;17;0;1;0;5;0;0;0;0
35;5;r00005;0;5;1;;1;0;0;1;17;0;1;0;5;0;0;1;0
36;5;r00005;0;5;1;;1;0;0;1;17;0;1;0;5;0;0;9;0
37;6;r00006;0;2;1;;1;0;0;0;;0;0;0;2;1;1;0;0
38;7;r00007;0;5;1;;1;1;1;1;4;1;1;1;4;1;1;4;2
39;7;r00007;0;5;1;;1;1;1;1;4;1;1;1;4;1;1;0;2
40;7;r00007;0;5;1;;1;1;1;1;17;1;1;1;4;1;1;4;2
41;7;r00007;0;5;1;;1;1;1;1;17;1;1;1;4;1;1;0;2
42;8;r00008;0;2;0;1;1;1;1;1;9;1;1;1;5;1;1;6;0
43;8;r00008;0;2;0;1;1;1;1;1;9;1;1;1;5;1;1;0;0
44;8;r00008;0;2;0;1;1;1;1;1;9;1;1;1;5;1;1;8;0
45;9;r00009;1;;;;1;1;1;1;4;1;1;0;2;1;1;8;2
46;9;r00009;1;;;;1;1;1;1;4;1;1;0;2;1;1;1;2
47;9;r00009;1;;;;1;1;1;1;4;1;1;0;2;1;1;0;2
48;9;r00009;1;;;;1;1;1;1;9;1;1;0;2;1;1;8;2
49;9;r00009;1;;;;1;1;1;1;9;1;1;0;2;1;1;1;2
50;9;r00009;1;;;;1;1;1;1;9;1;1;0;2;1;1;0;2
51;10;r00010;0;2;1;;1;2;1;1;9;1;1;0;2;1;1;1;1
52;11;r00011;0;3;0;1;1;1;1;1;4;1;1;0;3;1;1;3;0
53;12;r00012;0;3;1;;1;1;1;1;9;1;1;1;2;1;1;2;2
54;12;r00012;0;3;1;;1;1;1;1;9;1;1;1;2;1;1;4;2
55;12;r00012;0;3;1;;1;1;1;1;9;1;1;1;2;1;1;0;2
56;12;r00012;0;3;1;;1;1;1;1;9;1;1;1;2;1;1;1;2
57;13;r00013;0;3;0;1;1;0;2;2;;0;0;0;5;1;1;5;0
58;13;r00013;0;3;0;1;1;0;2;2;;0;0;0;5;1;1;0;0
59;13;r00013;0;3;0;1;1;0;2;2;;0;0;0;5;1;1;1;0
60;14;r00014;0;3;1;;1;1;1;1;4;1;1;0;3;1;1;9;2
61;14;r00014;0;3;1;;1;1;1;1;12;1;1;0;3;1;1;9;2
62;15;r00015;0;3;1;;1;1;1;1;9;1;1;0;7;1;1;7;0
63;15;r00015;0;3;1;;1;1;1;1;9;1;1;0;7;1;1;3;0
64;16;r00016;0;2;1;;1;1;1;1;4;1;1;1;3;1;1;1;2
65;16;r00016;0;2;1;;1;1;1;1;9;1;1;1;3;1;1;1;2
66;16;r00016;0;2;1;;1;1;1;1;10;1;1;1;3;1;1;1;2
67;16;r00016;0;2;1;;1;1;1;1;12;1;1;1;3;1;1;1;2
68;17;r00017;0;4;1;;1;0;0;0;;0;0;0;3;0;0;0;1
69;18;r00018;1;;;;0;2;1;1;13;1;1;1;1;1;1;8;2
70;18;r00018;1;;;;0;2;1;1;3;1;1;1;1;1;1;8;2
71;19;r00019;0;3;0;1;1;1;1;1;4;1;1;0;3;1;1;0;0
72;19;r00019;0;3;0;1;1;1;1;1;4;1;1;0;3;1;1;1;0
73;19;r00019;0;3;0;1;1;1;1;1;9;1;1;0;3;1;1;0;0
74;19;r00019;0;3;0;1;1;1;1;1;9;1;1;0;3;1;1;1;0
75;20;r00020;0;1;1;;1;1;2;0;;0;0;0;2;1;1;0;0
76;21;r00021;0;5;0;1;1;0;0;0;;0;0;0;3;1;1;7;1
77;22;r00022;0;2;1;;1;2;2;0;;0;0;0;1;0;0;0;0
78;23;r00023;0;0;1;;1;1;1;0;9;1;1;0;3;1;1;0;0
79;23;r00023;0;0;1;;1;1;1;0;3;1;1;0;3;1;1;0;0
80;23;r00023;0;0;1;;1;1;1;0;14;1;1;0;3;1;1;0;0
81;24;r00024;1;;;;1;0;0;0;;0;0;0;4;1;1;2;0
82;25;r00025;0;3;0;1;0;0;0;0;;0;0;0;5;0;0;2;1
83;25;r00025;0;3;0;1;0;0;0;0;;0;0;0;5;0;0;6;1
84;25;r00025;0;3;0;1;0;0;0;0;;0;0;0;5;0;0;0;1
85;26;r00026;0;2;0;1;1;2;1;1;9;1;1;0;2;0;0;2;0
86;26;r00026;0;2;0;1;1;2;1;1;9;1;1;0;2;0;0;5;0
87;26;r00026;0;2;0;1;1;2;1;1;9;1;1;0;2;0;0;0;0
88;27;r00027;0;3;1;;1;0;0;2;;0;1;0;3;0;0;0;1
89;28;r00028;0;4;0;1;1;1;1;2;;0;1;1;3;0;0;7;1
90;29;r00029;0;1;1;;1;1;1;1;4;1;1;2;3;0;0;7;1
91;29;r00029;0;1;1;;1;1;1;1;4;1;1;2;3;0;0;2;1
92;29;r00029;0;1;1;;1;1;1;1;4;1;1;2;3;0;0;6;1
93;29;r00029;0;1;1;;1;1;1;1;4;1;1;2;3;0;0;0;1
94;29;r00029;0;1;1;;1;1;1;1;4;1;1;2;3;0;0;9;1
95;29;r00029;0;1;1;;1;1;1;1;9;1;1;2;3;0;0;7;1
96;29;r00029;0;1;1;;1;1;1;1;9;1;1;2;3;0;0;2;1
97;29;r00029;0;1;1;;1;1;1;1;9;1;1;2;3;0;0;6;1
98;29;r00029;0;1;1;;1;1;1;1;9;1;1;2;3;0;0;0;1
99;29;r00029;0;1;1;;1;1;1;1;9;1;1;2;3;0;0;9;1
100;30;r00030;0;3;1;;0;1;1;1;9;1;1;2;3;0;0;0;1
101;31;r00031;0;3;1;;1;0;1;1;4;1;1;0;2;1;1;2;0
102;31;r00031;0;3;1;;1;0;1;1;4;1;1;0;2;1;1;0;0
103;31;r00031;0;3;1;;1;0;1;1;9;1;1;0;2;1;1;2;0
104;31;r00031;0;3;1;;1;0;1;1;9;1;1;0;2;1;1;0;0
105;31;r00031;0;3;1;;1;0;1;1;17;1;1;0;2;1;1;2;0
106;31;r00031;0;3;1;;1;0;1;1;17;1;1;0;2;1;1;0;0
107;31;r00031;0;3;1;;1;0;1;1;1;1;1;0;2;1;1;2;0
108;31;r00031;0;3;1;;1;0;1;1;1;1;1;0;2;1;1;0;0
109;32;r00032;0;5;1;;0;2;1;2;;0;0;0;3;1;1;8;1
110;32;r00032;0;5;1;;0;2;1;2;;0;0;0;3;1;1;1;1
111;32;r00032;0;5;1;;0;2;1;2;;0;0;0;3;1;1;0;1
112;32;r00032;0;5;1;;0;2;1;2;;0;0;0;3;1;1;4;1
113;32;r00032;0;5;1;;0;2;1;2;;0;0;0;3;1;1;7;1
114;33;r00033;1;;;;1;0;0;0;;0;0;0;4;0;0;0;0
115;33;r00033;1;;;;1;0;0;0;;0;0;0;4;0;0;1;0
116;34;r00034;0;2;1;;1;0;1;1;9;0;0;0;4;0;0;2;0
117;34;r00034;0;2;1;;1;0;1;1;9;0;0;0;4;0;0;5;0
118;34;r00034;0;2;1;;1;0;1;1;9;0;0;0;4;0;0;6;0
119;34;r00034;0;2;1;;1;0;1;1;9;0;0;0;4;0;0;0;0
120;34;r00034;0;2;1;;1;0;1;1;13;0;0;0;4;0;0;2;0
121;34;r00034;0;2;1;;1;0;1;1;13;0;0;0;4;0;0;5;0
122;34;r00034;0;2;1;;1;0;1;1;13;0;0;0;4;0;0;6;0
123;34;r00034;0;2;1;;1;0;1;1;13;0;0;0;4;0;0;0;0
124;35;r00035;0;3;1;;1;0;0;0;;0;0;0;3;0;0;3;1
125;35;r00035;0;3;1;;1;0;0;0;;0;0;0;3;0;0;1;1
126;35;r00035;0;3;1;;1;0;0;0;;0;0;0;3;0;0;0;1
127;35;r00035;0;3;1;;1;0;0;0;;0;0;0;3;0;0;10;1
128;35;r00035;0;3;1;;1;0;0;0;;0;0;0;3;0;0;2;1
129;36;r00036;0;2;1;;1;1;1;1;9;1;1;0;5;1;1;0;2
130;37;r00037;0;3;1;;1;0;0;2;;0;0;0;2;0;0;1;1
131;38;r00038;0;3;1;;1;1;1;2;4;1;1;0;2;0;0;0;0
132;39;r00039;0;5;1;;1;2;0;0;;0;0;0;5;1;1;6;2
133;39;r00039;0;5;1;;1;2;0;0;;0;0;0;5;1;1;7;2
134;40;r00040;1;;;;1;1;1;1;9;0;0;0;3;1;1;8;0
135;40;r00040;1;;;;1;1;1;1;9;0;0;0;3;1;1;0;0
136;40;r00040;1;;;;1;1;1;1;9;0;0;0;3;1;1;5;0
137;40;r00040;1;;;;1;1;1;1;13;0;0;0;3;1;1;8;0
138;40;r00040;1;;;;1;1;1;1;13;0;0;0;3;1;1;0;0
139;40;r00040;1;;;;1;1;1;1;13;0;0;0;3;1;1;5;0
140;41;r00041;0;3;1;;1;2;1;1;4;0;1;0;4;1;1;7;2
141;42;r00042;0;5;1;;1;1;1;1;9;0;1;1;6;0;0;2;1
142;42;r00042;0;5;1;;1;1;1;1;9;0;1;1;6;0;0;7;1
143;43;r00043;1;;;;1;1;1;1;9;0;1;0;2;0;0;5;0
144;43;r00043;1;;;;1;1;1;1;9;0;1;0;2;0;0;0;0
145;43;r00043;1;;;;1;1;1;1;4;0;1;0;2;0;0;5;0
146;43;r00043;1;;;;1;1;1;1;4;0;1;0;2;0;0;0;0
147;44;r00044;0;5;0;1;1;0;0;0;;0;0;0;5;1;1;0;1
148;45;r00045;0;1;1;;1;1;1;1;4;1;1;0;3;1;1;2;0
149;45;r00045;0;1;1;;1;1;1;1;4;1;1;0;3;1;1;0;0
150;45;r00045;0;1;1;;1;1;1;1;4;1;1;0;3;1;1;1;0
151;45;r00045;0;1;1;;1;1;1;1;9;1;1;0;3;1;1;2;0
152;45;r00045;0;1;1;;1;1;1;1;9;1;1;0;3;1;1;0;0
153;45;r00045;0;1;1;;1;1;1;1;9;1;1;0;3;1;1;1;0
154;45;r00045;0;1;1;;1;1;1;1;13;1;1;0;3;1;1;2;0
155;45;r00045;0;1;1;;1;1;1;1;13;1;1;0;3;1;1;0;0
156;45;r00045;0;1;1;;1;1;1;1;13;1;1;0;3;1;1;1;0
157;46;r00046;1;;;;1;1;1;1;4;1;1;0;3;1;1;7;0
158;46;r00046;1;;;;1;1;1;1;9;1;1;0;3;1;1;7;0
159;46;r00046;1;;;;1;1;1;1;17;1;1;0;3;1;1;7;0
160;46;r00046;1;;;;1;1;1;1;1;1;1;0;3;1;1;7;0
161;47;r00047;0;1;1;;1;2;2;2;;0;0;0;5;1;1;5;0
162;47;r00047;0;1;1;;1;2;2;2;;0;0;0;5;1;1;0;0
163;47;r00047;0;1;1;;1;2;2;2;;0;0;0;5;1;1;1;0
164;48;r00048;1;;;;1;1;1;2;9;1;1;0;5;0;0;7;0
165;49;r00049;0;1;1;;1;0;2;1;4;1;1;1;4;1;1;2;2
166;49;r00049;0;1;1;;1;0;2;1;3;1;1;1;4;1;1;2;2
167;50;r00050;0;2;1;;1;2;1;1;9;1;1;0;4;4;4;3;1
168;51;r00051;0;1;1;;1;1;0;0;;0;0;0;2;1;1;1;0
169;51;r00051;0;1;1;;1;1;0;0;;0;0;0;2;1;1;0;0
170;51;r00051;0;1;1;;1;1;0;0;;0;0;0;2;1;1;3;0
171;52;r00052;1;;;;1;0;0;0;;0;0;0;3;0;0;2;0
172;52;r00052;1;;;;1;0;0;0;;0;0;0;3;0;0;0;0
173;52;r00052;1;;;;1;0;0;0;;0;0;0;3;0;0;1;0
174;52;r00052;1;;;;1;0;0;0;;0;0;0;3;0;0;8;0
175;53;r00053;0;5;1;;1;1;1;1;9;1;1;0;4;1;1;2;0
176;53;r00053;0;5;1;;1;1;1;1;9;1;1;0;4;1;1;5;0
177;53;r00053;0;5;1;;1;1;1;1;3;1;1;0;4;1;1;2;0
178;53;r00053;0;5;1;;1;1;1;1;3;1;1;0;4;1;1;5;0
179;54;r00054;0;4;0;1;1;0;2;2;9;1;1;0;3;1;1;5;2
180;54;r00054;0;4;0;1;1;0;2;2;9;1;1;0;3;1;1;0;2
181;54;r00054;0;4;0;1;1;0;2;2;3;1;1;0;3;1;1;5;2
182;54;r00054;0;4;0;1;1;0;2;2;3;1;1;0;3;1;1;0;2
183;55;r00055;0;5;0;0;1;0;0;0;;0;0;1;3;1;1;7;0
184;56;r00056;0;2;1;;0;1;2;2;9;1;1;0;2;1;1;0;1
185;56;r00056;0;2;1;;0;1;2;2;9;1;1;0;2;1;1;1;1
186;57;r00057;0;3;0;1;1;1;2;2;;0;0;0;3;1;1;2;1
187;58;r00058;0;1;0;1;1;2;2;2;;0;0;1;4;1;1;0;0
188;58;r00058;0;1;0;1;1;2;2;2;;0;0;1;4;1;1;1;0
189;59;r00059;0;3;0;1;1;2;0;0;;0;0;0;4;1;1;0;0
190;60;r00060;0;5;1;;1;2;0;2;;0;0;0;5;0;0;0;0
191;61;r00061;0;2;0;1;1;0;1;2;9;1;1;0;2;0;0;5;1
192;62;r00062;0;2;1;;1;0;0;0;;0;0;0;2;1;1;2;0
193;63;r00063;1;;;;1;2;2;2;;0;0;0;2;2;2;1;2
194;63;r00063;1;;;;1;2;2;2;;0;0;0;2;2;2;0;2
195;64;r00064;1;;;;1;0;0;0;;0;0;0;4;0;0;7;0
196;65;r00065;1;;;;1;0;0;0;;0;0;0;3;0;0;2;0
197;65;r00065;1;;;;1;0;0;0;;0;0;0;3;0;0;0;0
198;65;r00065;1;;;;1;0;0;0;;0;0;0;3;0;0;8;0
199;66;r00066;0;1;0;0;1;1;1;1;4;1;1;1;3;1;1;2;1
200;66;r00066;0;1;0;0;1;1;1;1;9;1;1;1;3;1;1;2;1
201;67;r00067;0;5;1;;1;1;1;1;9;1;1;0;2;1;1;0;2
202;67;r00067;0;5;1;;1;1;1;1;3;1;1;0;2;1;1;0;2
203;67;r00067;0;5;1;;1;1;1;1;14;1;1;0;2;1;1;0;2
204;68;r00068;0;3;1;;1;1;2;0;;0;0;0;2;1;1;1;1
205;69;r00069;0;2;0;1;1;2;1;2;9;1;1;0;2;0;0;0;0
206;70;r00070;1;;;;1;0;1;0;;0;1;0;4;0;0;0;0
207;71;r00071;0;3;1;;0;0;0;0;;0;0;0;2;0;0;6;0
208;72;r00072;0;1;0;1;1;1;0;0;;0;0;0;6;1;1;3;0
209;72;r00072;0;1;0;1;1;1;0;0;;0;0;0;6;1;1;2;0
210;72;r00072;0;1;0;1;1;1;0;0;;0;0;0;6;1;1;0;0
211;73;r00073;0;0;1;;1;0;1;0;9;1;1;0;4;0;0;1;0
212;73;r00073;0;0;1;;1;0;1;0;9;1;1;0;4;0;0;0;0
213;74;r00074;0;2;1;;1;1;2;2;;0;0;0;4;1;1;2;2
214;74;r00074;0;2;1;;1;1;2;2;;0;0;0;4;1;1;5;2
215;74;r00074;0;2;1;;1;1;2;2;;0;0;0;4;1;1;0;2
216;75;r00075;0;2;1;;1;1;0;0;;0;0;0;5;0;0;1;0
217;75;r00075;0;2;1;;1;1;0;0;;0;0;0;5;0;0;0;0
218;75;r00075;0;2;1;;1;1;0;0;;0;0;0;5;0;0;5;0
219;76;r00076;1;;;;0;2;1;1;13;0;0;0;0;0;0;0;1
220;77;r00077;0;1;1;;1;0;0;0;;0;0;1;4;0;0;1;1
221;78;r00078;0;2;1;;1;0;0;0;;0;0;0;3;1;1;1;0
222;79;r00079;0;2;1;;1;1;1;1;4;1;1;0;3;1;1;2;2
223;79;r00079;0;2;1;;1;1;1;1;4;1;1;0;3;1;1;4;2
224;79;r00079;0;2;1;;1;1;1;1;4;1;1;0;3;1;1;0;2
225;79;r00079;0;2;1;;1;1;1;1;9;1;1;0;3;1;1;2;2
226;79;r00079;0;2;1;;1;1;1;1;9;1;1;0;3;1;1;4;2
227;79;r00079;0;2;1;;1;1;1;1;9;1;1;0;3;1;1;0;2
228;80;r00080;0;0;1;;1;0;0;0;;0;0;0;1;0;0;0;1
229;80;r00080;0;0;1;;1;0;0;0;;0;0;0;1;0;0;5;1
230;81;r00081;0;0;1;;1;1;1;1;4;0;0;0;4;2;2;0;1
231;81;r00081;0;0;1;;1;1;1;1;9;0;0;0;4;2;2;0;1
232;81;r00081;0;0;1;;1;1;1;1;13;0;0;0;4;2;2;0;1
233;82;r00082;1;;;;1;1;1;1;4;1;1;0;4;1;1;0;0
234;82;r00082;1;;;;1;1;1;1;9;1;1;0;4;1;1;0;0
235;83;r00083;0;2;1;;0;0;0;0;;0;0;0;3;1;1;4;0
236;83;r00083;0;2;1;;0;0;0;0;;0;0;0;3;1;1;0;0
237;84;r00084;1;;;;1;1;1;1;4;1;1;0;4;0;0;8;0
238;84;r00084;1;;;;1;1;1;1;4;1;1;0;4;0;0;0;0
239;84;r00084;1;;;;1;1;1;1;9;1;1;0;4;0;0;8;0
240;84;r00084;1;;;;1;1;1;1;9;1;1;0;4;0;0;0;0
241;84;r00084;1;;;;1;1;1;1;10;1;1;0;4;0;0;8;0
242;84;r00084;1;;;;1;1;1;1;10;1;1;0;4;0;0;0;0
243;85;r00085;0;1;1;;1;0;2;2;;0;0;0;5;1;1;5;1
244;85;r00085;0;1;1;;1;0;2;2;;0;0;0;5;1;1;0;1
245;85;r00085;0;1;1;;1;0;2;2;;0;0;0;5;1;1;1;1
246;86;r00086;0;2;1;;1;0;2;2;;0;0;0;5;1;1;0;1
247;86;r00086;0;2;1;;1;0;2;2;;0;0;0;5;1;1;2;1
248;87;r00087;0;2;1;;1;2;1;1;4;1;1;0;3;0;0;0;0
249;87;r00087;0;2;1;;1;2;1;1;9;1;1;0;3;0;0;0;0
250;88;r00088;1;;;;1;2;2;2;4;1;1;0;2;1;1;1;0
251;88;r00088;1;;;;1;2;2;2;4;1;1;0;2;1;1;0;0
252;88;r00088;1;;;;1;2;2;2;4;1;1;0;2;1;1;10;0
253;88;r00088;1;;;;1;2;2;2;4;1;1;0;2;1;1;3;0
254;88;r00088;1;;;;1;2;2;2;9;1;1;0;2;1;1;1;0
255;88;r00088;1;;;;1;2;2;2;9;1;1;0;2;1;1;0;0
256;88;r00088;1;;;;1;2;2;2;9;1;1;0;2;1;1;10;0
257;88;r00088;1;;;;1;2;2;2;9;1;1;0;2;1;1;3;0
258;88;r00088;1;;;;1;2;2;2;3;1;1;0;2;1;1;1;0
259;88;r00088;1;;;;1;2;2;2;3;1;1;0;2;1;1;0;0
260;88;r00088;1;;;;1;2;2;2;3;1;1;0;2;1;1;10;0
261;88;r00088;1;;;;1;2;2;2;3;1;1;0;2;1;1;3;0
262;89;r00089;0;2;1;;0;1;1;1;4;1;1;1;1;1;1;0;0
263;89;r00089;0;2;1;;0;1;1;1;9;1;1;1;1;1;1;0;0
264;89;r00089;0;2;1;;0;1;1;1;3;1;1;1;1;1;1;0;0
265;90;r00090;0;3;0;1;1;2;1;0;4;1;1;0;3;2;2;7;1
266;91;r00091;0;5;1;;1;1;1;2;4;1;1;0;3;1;1;0;0
267;92;r00092;0;1;1;;1;0;0;1;4;0;0;0;2;0;0;2;0
268;92;r00092;0;1;1;;1;0;0;1;17;0;0;0;2;0;0;2;0
269;93;r00093;0;1;1;;1;0;0;0;;0;0;0;0;2;2;1;2
270;94;r00094;0;1;0;1;1;0;1;1;4;1;1;1;2;1;1;1;0
271;94;r00094;0;1;0;1;1;0;1;1;9;1;1;1;2;1;1;1;0
272;95;r00095;0;3;1;;1;1;1;1;4;1;1;0;2;1;1;0;0
273;95;r00095;0;3;1;;1;1;1;1;3;1;1;0;2;1;1;0;0
274;96;r00096;0;2;1;;1;0;0;0;;0;0;1;4;1;1;1;2
275;97;r00097;0;2;1;;1;2;0;0;;0;0;0;6;1;1;0;0
276;97;r00097;0;2;1;;1;2;0;0;;0;0;0;6;1;1;5;0
277;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;8;0
278;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;0;0
279;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;10;0
280;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;6;0
281;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;5;0
282;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;4;0
283;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;2;0
284;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;3;0
285;98;r00098;1;;;;1;1;1;1;9;0;0;0;4;0;0;7;0
286;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;8;0
287;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;0;0
288;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;10;0
289;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;6;0
290;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;5;0
291;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;4;0
292;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;2;0
293;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;3;0
294;98;r00098;1;;;;1;1;1;1;10;0;0;0;4;0;0;7;0
295;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;8;0
296;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;0;0
297;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;10;0
298;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;6;0
299;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;5;0
300;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;4;0
301;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;2;0
302;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;3;0
303;98;r00098;1;;;;1;1;1;1;13;0;0;0;4;0;0;7;0
304;99;r00099;0;3;1;;1;1;1;1;9;1;1;1;2;1;1;0;0
305;99;r00099;0;3;1;;1;1;1;1;10;1;1;1;2;1;1;0;0
306;99;r00099;0;3;1;;1;1;1;1;12;1;1;1;2;1;1;0;0
307;100;r00100;0;4;1;;1;0;0;0;;0;0;0;4;1;1;5;0
308;101;r00101;0;3;1;;0;2;1;1;3;1;1;0;1;1;1;0;0
309;101;r00101;0;3;1;;0;2;1;1;21;1;1;0;1;1;1;0;0
310;102;r00102;0;1;1;;1;1;0;0;;0;0;0;2;1;1;0;0
311;103;r00103;0;2;1;;1;1;2;0;;0;0;1;2;1;1;9;0
312;104;r00104;0;2;1;;0;2;2;2;;0;0;0;2;0;0;0;1
313;104;r00104;0;2;1;;0;2;2;2;;0;0;0;2;0;0;5;1
314;104;r00104;0;2;1;;0;2;2;2;;0;0;0;2;0;0;4;1
315;104;r00104;0;2;1;;0;2;2;2;;0;0;0;2;0;0;2;1
316;105;r00105;1;;;;1;0;1;2;9;1;1;0;3;1;1;8;2
317;105;r00105;1;;;;1;0;1;2;9;1;1;0;3;1;1;1;2
318;105;r00105;1;;;;1;0;1;2;9;1;1;0;3;1;1;0;2
319;105;r00105;1;;;;1;0;1;2;3;1;1;0;3;1;1;8;2
320;105;r00105;1;;;;1;0;1;2;3;1;1;0;3;1;1;1;2
321;105;r00105;1;;;;1;0;1;2;3;1;1;0;3;1;1;0;2
322;106;r00106;0;2;1;;1;1;1;2;;0;1;1;4;1;1;0;1
323;107;r00107;0;5;1;;1;1;0;1;23;1;1;1;3;1;1;2;2
324;108;r00108;0;1;1;;0;0;1;1;4;1;1;0;2;1;1;1;0
325;108;r00108;0;1;1;;0;0;1;1;4;1;1;0;2;1;1;0;0
326;108;r00108;0;1;1;;0;0;1;1;4;1;1;0;2;1;1;5;0
327;108;r00108;0;1;1;;0;0;1;1;4;1;1;0;2;1;1;2;0
328;109;r00109;1;;;;1;2;1;1;4;1;1;0;2;0;0;1;1
329;109;r00109;1;;;;1;2;1;1;4;1;1;0;2;0;0;0;1
330;109;r00109;1;;;;1;2;1;1;4;1;1;0;2;0;0;3;1
331;110;r00110;0;3;0;0;1;0;0;2;;0;0;0;3;1;1;9;0
332;111;r00111;0;2;1;;1;1;1;1;9;1;1;0;2;1;1;0;2
333;111;r00111;0;2;1;;1;1;1;1;3;1;1;0;2;1;1;0;2
334;112;r00112;0;5;1;;0;1;2;2;;0;0;0;3;1;1;1;0
335;113;r00113;1;;;;0;1;0;0;;0;1;0;1;0;0;0;0
336;113;r00113;1;;;;0;1;0;0;;0;1;0;1;0;0;1;0
337;114;r00114;1;;;;1;1;1;1;6;1;0;1;4;0;0;0;2
338;115;r00115;0;2;0;1;1;0;0;0;;0;0;0;7;1;1;3;0
339;115;r00115;0;2;0;1;1;0;0;0;;0;0;0;7;1;1;2;0
340;116;r00116;0;2;0;1;1;1;1;1;4;1;1;0;2;1;1;0;0
341;116;r00116;0;2;0;1;1;1;1;1;4;1;1;0;2;1;1;1;0
